=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:30.006] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:42:30.007] [R5] read: "Pthread library provides powerful threading primitives."
[22:42:30.007] [R2] read: "Pthread library provides powerful threading primitives."
[22:42:30.008] [R4] read: "Pthread library provides powerful threading primitives."
[22:42:30.014] [R3] read: "Pthread library provides powerful threading primitives."
[22:42:30.038] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:42:30.040] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:42:30.041] [R3] read: "Pthread library provides powerful threading primitives."
[22:42:30.044] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:42:30.045] [W7] wrote: "AB"
[22:42:30.048] [R2] read: "AB"
[22:42:30.049] [R1] read: "AB"
[22:42:30.050] [R5] read: "AB"
[22:42:30.068] [R4] read: "AB"
[22:42:30.077] [R2] read: "AB"
[22:42:30.079] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.079] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.081] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.082] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.087] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.090] [W5] wrote: "AB"
[22:42:30.092] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.094] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.095] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.101] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.104] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.113] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.122] [W6] wrote: "AB"
[22:42:30.127] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.128] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.131] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.134] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:30.146] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.148] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.150] [W3] wrote: "AB"
[22:42:30.152] [R3] read: "AB"
[22:42:30.163] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.164] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.176] [W1] wrote: "AB"
[22:42:30.176] [W8] wrote: "AB"
[22:42:30.177] [R5] read: "AB"
[22:42:30.177] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.182] [W2] wrote: "AB"
[22:42:30.184] [R2] read: "AB"
[22:42:30.187] [W4] wrote: "AB"
[22:42:30.199] [R5] read: "AB"
[22:42:30.201] [R4] read: "AB"
[22:42:30.201] [R3] read: "AB"
[22:42:30.202] [R1] read: "AB"
[22:42:30.207] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.219] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.231] [W7] wrote: "Test"
